 642967739 |   1992 | MFGR#2221
 545679679 |   1992 | MFGR#2222
 577760153 |   1992 | MFGR#2223
 594939371 |   1992 | MFGR#2224
 662883034 |   1992 | MFGR#2225
 666741542 |   1992 | MFGR#2226
 672886692 |   1992 | MFGR#2227
 630787388 |   1992 | MFGR#2228
 727727698 |   1993 | MFGR#2221
 631064901 |   1993 | MFGR#2222
 717301567 |   1993 | MFGR#2223
 582631693 |   1993 | MFGR#2224
 543812566 |   1993 | MFGR#2225
 665253266 |   1993 | MFGR#2226
 715189343 |   1993 | MFGR#2227
 748282778 |   1993 | MFGR#2228
 555010258 |   1994 | MFGR#2221
 610163552 |   1994 | MFGR#2222
 611919401 |   1994 | MFGR#2223
 461119703 |   1994 | MFGR#2224
 587223217 |   1994 | MFGR#2225
 601223657 |   1994 | MFGR#2226
 609188173 |   1994 | MFGR#2227
 679610720 |   1994 | MFGR#2228
 662178431 |   1995 | MFGR#2221
 555563489 |   1995 | MFGR#2222
 550617249 |   1995 | MFGR#2223
 593919496 |   1995 | MFGR#2224
 623709203 |   1995 | MFGR#2225
 652389755 |   1995 | MFGR#2226
 623084722 |   1995 | MFGR#2227
 737572554 |   1995 | MFGR#2228
 599975202 |   1996 | MFGR#2221
 595524947 |   1996 | MFGR#2222
 660671558 |   1996 | MFGR#2223
 584237004 |   1996 | MFGR#2224
 642595770 |   1996 | MFGR#2225
 576573577 |   1996 | MFGR#2226
 640610189 |   1996 | MFGR#2227
 667183880 |   1996 | MFGR#2228
 579879060 |   1997 | MFGR#2221
 602361760 |   1997 | MFGR#2222
 539401036 |   1997 | MFGR#2223
 500824249 |   1997 | MFGR#2224
 580969473 |   1997 | MFGR#2225
 570137605 |   1997 | MFGR#2226
 760054104 |   1997 | MFGR#2227
 768217300 |   1997 | MFGR#2228
 361579265 |   1998 | MFGR#2221
 307219378 |   1998 | MFGR#2222
 292935939 |   1998 | MFGR#2223
 346500902 |   1998 | MFGR#2224
 353656124 |   1998 | MFGR#2225
 446220273 |   1998 | MFGR#2226
 334346939 |   1998 | MFGR#2227
 407991841 |   1998 | MFGR#2228
